Ranking,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Ints,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TotalTD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
179,Allen Robinson,LAR,WR,29,10,10,0,0,0,0,0,0,0,,0,52,33,339,10.27,3,0,0,3,,,52,84.9,87.9,68.4,,68,

180,Will Dissly,SEA,TE,26,14,14,0,0,0,0,0,0,0,,0,37,33,330,10.00,3,0,0,3,,,51,84.0,87.0,67.5,,20,

181,Mike Gesicki,MIA,TE,27,13,1,0,0,0,0,0,0,0,,0,39,24,269,11.21,4,0,0,4,,,51,74.9,77.9,62.9,,21,

182,Keenan Allen,LAC,WR,30,6,6,0,0,0,0,0,0,0,,0,49,34,400,11.76,2,1,1,2,,,50,84.0,88.0,67.0,,70,

183,Treylon Burks,TEN,WR,22,8,4,0,0,0,0,0,2,12,6.00,0,37,25,359,14.36,1,0,0,2,,,49,74.1,77.1,61.6,,71,

184,DJ Chark,DET,WR,26,7,6,0,0,0,0,0,0,0,,0,37,20,306,15.30,3,0,0,3,,,49,68.6,71.6,58.6,,73,

185,Romeo Doubs,GNB,WR,22,9,7,0,0,0,0,0,1,11,11.00,0,50,31,314,10.13,3,2,1,3,,,49,79.5,83.5,64.0,,75,

186,Richie James,NYG,WR,27,13,3,0,0,0,0,0,2,6,3.00,0,47,38,361,9.50,3,3,3,3,,,49,86.7,92.7,67.7,,72,

187,Alexander Mattison,MIN,RB,24,13,0,0,0,0,0,0,50,173,3.46,3,16,13,78,6.00,1,0,0,4,,,49,62.1,65.1,55.6,,54,

188,K.J. Osborn,MIN,WR,25,13,9,0,0,0,0,0,3,6,2.00,0,57,35,300,8.57,3,0,0,3,,,49,83.6,86.6,66.1,,74,

189,Rashaad Penny,SEA,RB,26,5,5,0,0,0,0,0,57,346,6.07,2,5,4,16,4.00,0,1,0,2,,,48,52.2,55.2,50.2,,55,

190,Kyle Pitts,ATL,TE,22,10,10,0,0,0,0,0,0,0,,0,59,28,356,12.71,2,0,0,2,,,48,75.6,78.6,61.6,,22,

191,Trent Sherfield,MIA,WR,26,13,3,0,0,0,0,0,0,0,,0,42,26,362,13.92,2,0,0,2,,,48,74.2,77.2,61.2,,76,

192,Austin Hooper,TEN,TE,28,13,2,0,0,0,0,0,0,0,,0,43,32,347,10.84,2,0,0,2,,,47,78.7,81.7,62.7,,23,

193,Rondale Moore,ARI,WR,22,8,8,0,0,0,0,0,6,-5,-0.83,0,56,41,414,10.10,1,0,0,1,,,47,87.9,90.9,67.4,,78,

194,Quez Watkins,PHI,WR,24,13,6,0,0,0,0,0,1,-3,-3.00,0,35,26,315,12.12,3,1,1,3,,,47,73.2,77.2,60.2,,77,

195,J.K. Dobbins,BAL,RB,24,5,5,0,0,0,0,0,50,243,4.86,2,6,6,39,6.50,1,0,0,3,,,46,52.2,55.2,49.2,,56,

196,Tyler Higbee,LAR,TE,29,13,13,0,0,0,0,0,0,0,,0,81,52,455,8.75,0,0,0,0,,,46,97.5,100.5,71.5,,26,

197,Chigoziem Okonkwo,TEN,TE,23,13,5,0,0,0,0,0,2,-4,-2.00,0,31,21,320,15.24,2,0,0,2,1,,46,66.6,69.6,56.1,,25,

198,Cade Otton,TAM,TE,23,12,8,0,0,0,0,0,0,0,,0,50,36,337,9.36,2,0,0,2,,,46,81.7,84.7,63.7,,24,

199,Demarcus Robinson,BAL,WR,28,13,3,0,0,0,0,0,0,0,,0,56,38,390,10.26,1,0,0,1,,,45,83.0,86.0,64.0,,79,

200,Ben Skowronek,LAR,WR,25,13,10,0,0,0,0,0,1,17,17.00,1,58,38,373,9.82,0,0,0,1,,,45,83.0,86.0,64.0,,80,

201,Robert Woods,TEN,WR,30,13,11,0,0,0,0,0,0,0,,0,68,38,406,10.68,1,1,1,1,,,45,82.6,86.6,63.6,,81,

202,Nelson Agholor,NWE,WR,29,12,5,0,0,0,0,0,0,0,,0,45,30,359,11.97,2,2,2,2,,,44,73.9,78.9,58.9,,82,

203,Julio Jones,TAM,WR,33,8,3,0,0,0,0,0,4,32,8.00,0,39,22,284,12.91,2,0,0,2,,,44,65.6,68.6,54.6,,83,

204,Jameis Winston,NOR,QB,28,3,3,73,115,858,4,5,5,16,3.20,0,0,0,0,,0,3,0,0,,1,44,43.9,51.9,48.9,,38,

205,Jordan Akins,HOU,TE,30,11,2,0,0,0,0,0,0,0,,0,34,25,326,13.04,2,1,1,2,,,43,67.6,71.6,55.1,,28,

206,Greg Dortch,ARI,WR,24,12,2,0,0,0,0,0,2,4,2.00,0,39,34,324,9.53,2,1,1,2,,,43,76.8,80.8,59.8,,84,

207,Joe Flacco,NYJ,QB,37,4,3,92,158,902,5,3,3,6,2.00,0,0,0,0,,0,5,4,0,,,43,42.7,52.7,45.7,,39,

208,Caleb Huntley,ATL,RB,24,11,0,0,0,0,0,0,75,364,4.85,1,2,2,3,1.50,0,1,0,1,,,43,44.7,47.7,43.7,,57,

209,Robert Tonyan,GNB,TE,28,13,3,0,0,0,0,0,0,0,,0,56,45,372,8.27,1,0,0,1,,,43,88.2,91.2,65.7,,27,

210,Greg Dulcich,DEN,TE,22,8,4,0,0,0,0,0,0,0,,0,45,28,361,12.89,1,0,0,1,,,42,70.1,73.1,56.1,,29,

211,Gus Edwards,BAL,RB,27,5,3,0,0,0,0,0,62,261,4.21,3,2,0,0,,0,1,1,3,,,42,42.1,46.1,42.1,,58,

212,Foster Moreau,LVR,TE,25,11,10,0,0,0,0,0,0,2,,0,45,25,316,12.64,2,1,1,2,,,42,66.8,70.8,54.3,,30,

213,Randall Cobb,GNB,WR,32,9,1,0,0,0,0,0,0,0,,0,40,26,349,13.42,1,1,0,1,,,41,66.9,69.9,53.9,,86,

214,Chase Edmonds,2TM,RB,26,10,2,0,0,0,0,0,46,135,2.93,2,19,11,96,8.73,1,0,0,3,,,41,52.1,55.1,46.6,,59,
